vendor_id,pickup_datetime,dropoff_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,rate_code,passenger_count,trip_distance,payment_type,fare_amount,extra,mta_tax,imp_surcharge,tip_amount,tolls_amount,total_amount,store_and_fwd_flag
VTS,1.23340584E9,1.23340596E9,-73.977662,40.778812,-73.977845,40.778747,,1,0.01,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.234872E9,1.23487206E9,-73.976017,40.761707,-73.975732,40.761785,,1,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.24863018E9,1.24863024E9,-73.993147,40.70316,-73.993147,40.70316,,1,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
DDS,1.243581952E9,1.243582776E9,-73.960409,40.761375,-73.974622,40.742181,,1,2.2,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.23564798E9,1.23564804E9,-73.78966,40.643852,-73.789743,40.644,,5,0.01,CSH,2.5,0.0,,,0.0,0.0,2.5,
DDS,1.278947936E9,1.278948412E9,-73.901803,40.763563,-73.137393,41.366138,0,1,0.0,CAS,2.5,0.0,0.0,,0.0,0.0,2.5,
VTS,1.23826002E9,1.23826008E9,-73.99165,40.763332,-73.99149,40.763475,,1,0.04,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.23478512E9,1.23478512E9,-73.99963,40.748572,-73.99963,40.748572,,1,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
DDS,1.24022626E9,1.240226681E9,-73.976944,40.743455,-73.986253,40.746845,,1,0.6,CSH,2.5,0.0,,,0.0,0.0,2.5,
CMT,1.232385528E9,1.23238553E9,-73.959844,40.762617,-73.959844,40.762617,,1,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.24573722E9,1.24573722E9,-73.974962,40.755195,-73.97495,40.755218,,1,0.01,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.2393669E9,1.2393669E9,-73.975387,40.731367,-73.97525,40.731395,,1,0.02,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.27659228E9,1.27659234E9,-73.901983,40.763933,-73.901982,40.763933,1,6,0.0,CAS,2.5,0.0,0.0,,0.0,0.0,2.5,
DDS,1.240142304E9,1.240144103E9,-73.981208,40.778523,-73.998026,40.735329,,1,3.9,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.24394034E9,1.2439404E9,-73.929438,40.76242,-73.929955,40.761893,,4,0.04,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.27488906E9,1.2749184E9,0.0,0.0,-73.987878,40.738563,1,2,0.0,CAS,2.5,0.0,0.0,,0.0,0.0,2.5,
VTS,1.23123696E9,1.23123696E9,-73.927547,40.755087,-73.927547,40.755087,,1,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.2449679E9,1.2449679E9,-73.944425,40.752642,-73.944537,40.752697,,6,0.03,CSH,2.5,0.0,,,0.0,0.0,2.5,
